participant_id,condition,item,question,text,codes
61505373bc903980a66ab1e1,ai-reliability,pooled,manipulation (pooled),it didnt || with less reliability more checks are necessary,no_change
6a1ab9e31755a18be4c11991,ai-reliability,pooled,manipulation (pooled),not much || not much,no_change
69f3c29f7f3969d3695109a8,ai-reliability,pooled,manipulation (pooled),sometimes i didnt understand the AI answer choice so i went with my gut feeling || if the answers made sense and had a logic,UNCODED
656f0ce82c0ba5e95ad58a03,ai-reliability,pooled,manipulation (pooled),It made me less confident and unsure if the answers were correct or not || I still used the AI for help but was unsure if the answer was correct,UNCODED
60b932147633bf0dd446941e,ai-reliability,pooled,manipulation (pooled),i  found it intrusive || i didn't use it.,no_change
6a019c3cc3985370727003c9,ai-reliability,pooled,manipulation (pooled),I didn't trust the reliability rating that much. I still trusted the AI if it seemed what it was saying was correct. || I mostly relied on the AI because I thought it would do a better job than me,no_change
5d48ae562c8b78001a16088d,ai-reliability,pooled,manipulation (pooled),It made me double check responses if there was low reliability noted || I did not necessarlily rely on AI when the reliability score was low,more_careful
5d35c29a467d18001981d677,ai-reliability,pooled,manipulation (pooled),I would doubt the AI more if the reliability scale was low or medium. I would force the AI to check over it's answer multiple times. || ,trust_less
603b9be389c6cf7d0dd74fd1,ai-reliability,pooled,manipulation (pooled),"I noticed the reliability, and this just made me less convinced that i would do well in the study! as i was not good at the informtation processing myself, just made me not confident || I relyed on AI regardless, as i still thought it had a better chance than me of getting the question correct",UNCODED
6a08c850e3be322170e22d6f,ai-reliability,pooled,manipulation (pooled),"I was more wary when answering the questions where the reliability was low. I still checked when the reliability was high although I perhaps wasn't as thorough. || If it was low, I was more wary about checking the scenario and making sure the answer sounded right.",trust_less
6130c7f7d0112fa23b17079c,ai-reliability,pooled,manipulation (pooled),I questioned the AI more when the reliability was low generally speaking. || I relied on the AI generally but used the reliability checker to see if I needed to further examine the AI's logic and answers.,more_careful
69f332f70c69cf198ed920ee,ai-reliability,pooled,manipulation (pooled),when it was low i was less inclined to give the ai answer or said i was less confident || it very much did as i felt like i didnt trust it as much when the information said low.,no_change
6a0329b483b7cb1ca6763ffe,ai-reliability,pooled,manipulation (pooled),"It made me more concious in cross checking the AI answers carefully || When the reliability level of the AI was low and Medium, I tried to get the answers myself without AI help but when the reliability level was high, I didnt crosscheck my answers.",more_careful
695c0670de1faedbce882831,ai-reliability,pooled,manipulation (pooled),"Yes it did, as I used that information to help tweak some of the prompts for better reasoning || I used it to see which questions would need more of my double checking and input",more_careful
62b44f66a16d45783569fad6,ai-reliability,pooled,manipulation (pooled),I think it made me more wary of the AI answers especially when I wasn't sure myself. Maybe it made me overconfident on some too. || I think it probably did make me more likely to verify information to check its accuracy if I felt the AI was unreliable.,more_careful;trust_less
5ae82944a0e4390001f090fd,ai-reliability,pooled,manipulation (pooled),I genreally trusted the ai. Not sure if that was a good move or not || I used it on almost every question.,UNCODED
6a02840904eed4f800acaf95,ai-reliability,pooled,manipulation (pooled),It made me more likely to double check information if reliability was low || It did a little bit,more_careful
6a1ca28f39a714391ec26ae5,ai-reliability,pooled,manipulation (pooled),"I generally didn't pay too much attention, however it did make me check more closely when it was lower. || The lower the reliability, the more I checked into each answer before confirming",UNCODED
69f63441f6c4dbf4138036ee,ai-reliability,pooled,manipulation (pooled),a little but i still found the AI more than valid with it's reasoning most of the time || just gave more more or less confidence in the answer provided when using the reliability information.,UNCODED
6a1d926a6d8b19bb96fa8054,ai-reliability,pooled,manipulation (pooled),I did not find it useful || I did not use it,UNCODED
609ac2fa3340da7e2c5557ee,ai-reliability,pooled,manipulation (pooled),I double checked everything that was Low reliability and asked more questions || checked more,more_careful;slowed_friction
6a12f8b2075822430f96d6e6,ai-reliability,pooled,manipulation (pooled),Just a little || I used it moderately,UNCODED
6a1d422c5cd5b69b949f3d4f,ai-reliability,pooled,manipulation (pooled),I scrutinized the AI information a lot more when the reliability was medium or low || I was more hesitant to use the information provided by the AI when the reliability was low.,more_careful
6a1878f047ada5b4889358bc,ai-reliability,pooled,manipulation (pooled),it did change the way I read the information if it had low reliability and I would put more effort into reading what it said || I used it for all of them,slowed_friction
5ce031fc7f65ee001a985a6b,ai-reliability,pooled,manipulation (pooled),yes i didnt trust it as much where low reliability came up and tried to make my own judgement || i used it to help choose between correctness of statements but with pinch of salt where reliaboltiy was low.,no_change
5ca356cb72a23200160ce912,ai-reliability,pooled,manipulation (pooled),"Made me question AI, which I don't normally do || I took how it rated itself as fact. So if it said AI had a low chance of being correct, it then made me doubt my answer",more_careful;trust_less
69fdaf9d85430102ab57d442,ai-reliability,pooled,manipulation (pooled),It only effected how high or low on the 'sure/unsure' scale I selected. || It just informed how sure i was on the ratings scale.,UNCODED
67139698ab79b82f8afd1e93,ai-reliability,pooled,manipulation (pooled),no || i paid more attention,no_change
5e909d6c5321c13abee11725,ai-reliability,pooled,manipulation (pooled),reliability increased my confidence to rely fully on the AI || used my own assumptions less when AI was high reliability,UNCODED
602566f8b47a130ae1d2f94b,ai-reliability,pooled,manipulation (pooled),"It made me consider the AI answer depending on it, but I did also wonder if the reliability rating was also AI which may have its own issues with reliability. || Same as above.",more_careful
65bbf83dbe0f27e1a871bf48,ai-reliability,pooled,manipulation (pooled),"Made me read through the information a bit more than I had anticipated at the start || Used it to check if the AI output was poor, if yes then re-read the question and all info provided then made my decisions",more_careful
5ba33d995196c600014853b6,ai-reliability,pooled,manipulation (pooled),It did make me question the AI answers more. || I'd get the AI to double check and take it's time,more_careful
6a00bcb801abd80f812f7c4b,ai-reliability,pooled,manipulation (pooled),I felt the high reliability I just accepted the AI response. The low or medium I tried to work out myself. || The reliability helped as it meant if it was high I could just copy the answers. It is scary how much we put trust it these metrics. I mean what if the answer was wrong. I am hoping it is right.,UNCODED
69ee2a86be2657dd6b52f0dc,ai-reliability,pooled,manipulation (pooled),I always doubled checked you can't rely on AI getting the correct answer,UNCODED
6a0de69c307d0b81b5a95bf9,ai-reliability,pooled,manipulation (pooled),"It did not change much, because I cross check every question to be sure the answer was correct. || I didn't use it much.",no_change
6a2409cf2b45d40f46952ea2,ai-reliability,pooled,manipulation (pooled),it made me consider that AI was not infalliable || The reliability information was the key piece of information i used in deciding whether to rely on AI,more_careful
63beebaa4c5884797ff00a98,ai-reliability,pooled,manipulation (pooled),I tried to work the answer out myself if it was low || if low I did not rely on it,UNCODED
69fcc5eb8c8ed4f5ace0d917,ai-reliability,pooled,manipulation (pooled),It made me less certain of the AI's response and I would try to double check its answer. || I used it to decide how reliable the information was and whether it could be completely trusted.,more_careful
6a12071b383cff537e09f28b,ai-reliability,pooled,manipulation (pooled),"it made me unsure, in some cases i think i was right and the AI was right, but it made me second guess || it pushed me to think my first mental answer was right",UNCODED
60d35fa71e56e17e064c2c1e,ai-reliability,pooled,manipulation (pooled),"i then less trusted the AI || i used it completely, if it was lower than high i wouldnt trust it",trust_less
58ff31a1d10e2b000108579e,ai-reliability,pooled,manipulation (pooled),"Not at all. I was so busy struggling with the interface that I just had no mental energy left to care about it. || It just made me exasperated and annoyed. I would need about an hour to work out a good method to approach these tasks with paper and coloured pens just to get into a ballpark where I could assess my own reliability, before I had a good feeling for assessing the AI",slowed_friction
6a1f0c595bd98a080100d47f,ai-reliability,pooled,manipulation (pooled),It didn't. || I didn't. I saw the flag but it didn't change how I treated each question,no_change
69ea3ae0cebb94ec4126d00d,ai-reliability,pooled,manipulation (pooled),"it changed it deeply , i was a lot more cautious || making sure to keep in mind the tips when submitting answers",more_careful
69fa1661524487df9d12bcd3,ai-reliability,pooled,manipulation (pooled),I prompted me to double check. || A very little. I did not manually check all the possibilities as the tasks were very challenging.,more_careful
69e6ca5cda0abb6476671ca3,ai-reliability,pooled,manipulation (pooled),didn't change anything || n/a,no_change
6a0377ab9f56f6356a06f3ec,ai-reliability,pooled,manipulation (pooled),i choose to believe it more || i still choose to believe AI,UNCODED
69e7635ed757a3fa3d7ecef5,ai-reliability,pooled,manipulation (pooled),"High reliability made me more certain that the response provided was correct, while low reliability meant I had to double-check to confirm the answer. || I was more inclined to rely on the AI when reliability was higher.",more_careful
69f0facfb34205fe685cfb63,ai-reliability,pooled,manipulation (pooled),if it was low i would always go double check || yes it would determine if i trusted the source,more_careful
6a22c3eb4725e325fd168a95,ai-reliability,pooled,manipulation (pooled),It didn't make a huge difference because I couldn't be sure of the AIs answer if i couldnt also work it out myself || I didn't pay too much attention to it,no_change
6a1d90acdbc882a935904998,ai-reliability,pooled,manipulation (pooled),i was more suspicious of low reliability answers || used it to help format new prompts,trust_less
6a00de0fef1ab5f141829594,ai-reliability,pooled,manipulation (pooled),It made me more ready to challenge it || I used it to help judge how much I could rely on any given answer,UNCODED
6a0fa4d0752408b8b9e0ed8d,ai-reliability,pooled,manipulation (pooled),Not much; I read through the excerpts and used my own knowledge to base my opinions. The AI seemed fine even when given low scores for reliability. || I mostly still used the AI because it helped more than not.,UNCODED
6a158d6cdc77d53781df91dd,ai-reliability,pooled,manipulation (pooled),"It made me less trusting and more likely to interrogate the AI || If it was low reliability, I made sure to ask more probing questions and also feed in the tips to check for",trust_less
6a0f3f3bcf45b31c84254187,ai-reliability,pooled,manipulation (pooled),"It made me ask more follow-up questions and think more carefully about the AI's suggestions instead of accepting them immediately. || I used it as one factor when deciding how much to trust the AI, but I also compared its reasoning with my own before making a decision.",more_careful
69fef864a0d772b10f302eab,ai-reliability,pooled,manipulation (pooled),"I would double check the given information and the AI generated output, I would double check a lot more when reliability was low || When reliability was high I felt more confident in using the AI's answer",more_careful;trust_more
6a05df9dcade14a5baa8434a,ai-reliability,pooled,manipulation (pooled),"i trusted the high ones, but little to no faith in the lower ones so i checked those ones more. || i would get the low ones to check their information again.",UNCODED
696d0dc6c9d44fdb4020b215,ai-reliability,pooled,manipulation (pooled),It made me adjust my trust level for the AI responses || I trusted the response from the AI that had a high reliability score more than the one that had a low or medium reliability score,UNCODED
63d3f928e97451dbc1c745da,ai-reliability,pooled,manipulation (pooled),I mean it didn't really make me change the way I usually do only thing I did this time was double check and carefully read through the information provided to ensure I got the same result. || Same way as I said above honestly. Just double check and made sure to read things correctly.,more_careful
5b8fe19ae3a406000131f1a6,ai-reliability,pooled,manipulation (pooled),made me doubt the answers || checked it against the info given,trust_less
6a1ef512fd22c5aeb0f054b9,ai-reliability,pooled,manipulation (pooled),"I would usually just accept that AI is smarter than me and not check as thoroughly, because of the reliability info it made me question the AI answers more.",more_careful;trust_less
6048c1da4fb34916883f2e7d,ai-reliability,pooled,manipulation (pooled),a great deal || used it to rate the answer,UNCODED
6a0afb57417835eaa8cf978e,ai-reliability,pooled,manipulation (pooled),"While the reliability information did influence me, I still checked the information given to me regardless of the rating or advice, as it was better to be collaborative than to rely solely on the ai system. || When I was already sure about a question and the task I gave the ai was easy, I would trust a high reliability rating. In any other instance, I would check much more extensively.",UNCODED
69f0bd15dacaf72b392f5c90,ai-reliability,pooled,manipulation (pooled),It certainly prompted me to feed the AI more context to help get more reliable answers,UNCODED
6a259d5aa0f34da2cfbf5004,ai-reliability,pooled,manipulation (pooled),"If the answer was potentially unreliable, then i was less likely to trust the answer that was provided. || Low reliability made me double check some answers.",more_careful;trust_less
665efdf173820edd2b8d4d23,ai-reliability,pooled,manipulation (pooled),"Yes, if it was low I checked more, if it was high I generally trusted it. || Yes, if it was low I checked more, if it was high I generally trusted it.",UNCODED
5dfc28644b49a19583f7cc7a,ai-reliability,pooled,manipulation (pooled),It took a while to realise the reliability information pop-up was to help me see how confident I should be with the answers. || N/A,no_change
6a1e8e544ddce8244cfc707f,ai-reliability,pooled,manipulation (pooled),"I stopped trusting it towards the end. It seemed to be randomly asigning levels after i had put the scenario in and before the exercise instructions so there was nothing for it to really evaluate. || I did on the first one, it went from medium to high when i asked a question but I didnt take much notice of it towards the end",more_careful
5b88022114e8c600010485b9,ai-reliability,pooled,manipulation (pooled),I got it to check more || I did rely it on it mostly,UNCODED
6a1e93a3a409de92d38f9059,ai-reliability,pooled,manipulation (pooled),n/a || n/a,no_change
676ae3e650a28a06d8486941,ai-reliability,pooled,manipulation (pooled),the only thing it changed was how confident I entered the slider afterwards || Didn't change anything for me,no_change
6a0633e7c1fd84e5fadfe80e,ai-reliability,pooled,manipulation (pooled),It clued me in more when their may be too many variables || It gave me a better idea of if I was on the right track when interacting with the AI,UNCODED
69f0e10237e70629b1851b6f,ai-reliability,pooled,manipulation (pooled),AI required some hand holding || I double checked and verified the sanitzed result as best I could,more_careful
69f3b206e69dd82798c52778,ai-reliability,pooled,manipulation (pooled),"If the reliability level was high I was more likely to trust the info, if it was low I'd go over the answer carefully. || I used the reliability info to know when to reread the AI answer and go over the info with more attention.",more_careful
6a1b22b2400fd8fa375bf6d2,ai-reliability,pooled,manipulation (pooled),"When given the clue that the probability of AI being incorrect, I was cross refrence. || //",UNCODED
66019f5e10adbe524f2a844a,ai-reliability,pooled,manipulation (pooled),i saw the pop ups and read them but i still trusted the AI anyway! || if it was low i paid more attention to the answer that it gave me,UNCODED
6a025bd21792d1c049fa132b,ai-reliability,pooled,manipulation (pooled),"i didn't always trust the answers || I struggled to work it out myself so i went with the AI answers, but was less confident in them",UNCODED
56b78f11e77ebe000cbefe79,ai-reliability,pooled,manipulation (pooled),I asked the AI to make their own assessment of reliability as a % and compared that to the information. The AI also explained why they gave that % and I took a view whether it was persuasive or not. || Partly and set my confidences lower apart from one or two where the AI's argument for a much higher level of confidence was persuasive as at least some AI's were known to get the questions write so it could easily be mine.,UNCODED
6a1ebce36344944543760e59,ai-reliability,pooled,manipulation (pooled),"I paid attention to it, but using my aforementioned strategy it didn't matter to much. I was checking its responses for mistakes anyway. || I always mostly relied on the AI because they were complex problems. I didn't have a notepad in front of me to draw or take notes so it was tough. Also I didn't want to change tab or change to notepad in case autoproctor got mad. Thus I trusted the AI along with some checks by me.",UNCODED
67e8289e4c317bd8072e7c96,ai-reliability,pooled,manipulation (pooled),"I would be more dilligent in trying to disprove the AI when the reliability was lower. || I didn't use the additional information at all, just the reliability score. I would use that to determine how much time I would spent trying to disprove the AI's logic.",no_change
6a1d8a523e6779817d014374,ai-reliability,pooled,manipulation (pooled),It didn't,no_change
69f4765b9bfd320086f11f14,ai-reliability,pooled,manipulation (pooled),I was slightly more suspicious of its answers if the reliability was low || I used it in deciding whether to double check more,more_careful;trust_less
69fd88994d71fdbe41dc06cb,ai-reliability,pooled,manipulation (pooled),I think it was a great way of flagging how a prompt may or may not work and what to do. In this case I didn;t use it as much as I would have liked due to time contraints but I would definitely use it in the future. || I think I was mindful of trying to ask 'are you sure - what about x' questions.,no_change
6a04366fb4a4aa679e7dc1ba,ai-reliability,pooled,manipulation (pooled),i just double checked the answer || i just rechecked my answer,more_careful
6a0f23984ca40187cbf977c3,ai-reliability,pooled,manipulation (pooled),"At first it didn't because I'm used to get reliable answers, but when I saw the reliability information was actually accurate and the model was failing I switched to a manual mode. || At the end when I was more tired and getting more support of the AI, i used the reliability information to score the confidence in my answer.",more_careful;trust_less
69fd091c3ac967918648e10c,ai-reliability,pooled,manipulation (pooled),I was checking more carefully when I saw AI may not be reliable || I checked more carefully if there was strong indication it will not be correct,more_careful
6a0b4fa8c69b7f8c74ef1238,ai-reliability,pooled,manipulation (pooled),"I probed the AI on whether or not it was certain or asked it to crosscheck its answers after each question regardless if the reliability score. || At first the reliability information made me trust the AI's competence more, but it got to a stage where the AI gave doubtful answers even with its reliability score on high .",trust_less
6a0b003f6fd78e5df58d4c69,ai-reliability,pooled,manipulation (pooled),"If the reliability was high, I read through the reasoning to check but I generally accepted it. If the reliability was low I tried to figure it out on my own or probe the AI further. || I used the reliability information a lot. If it was low I made sure to fact check the answers.",UNCODED
668d16ae27f1ad4461650742,ai-reliability,pooled,manipulation (pooled),The reliability made me more dubious of it's output and reaffirmed the accuracy of my own calculations. || I ignored it as it was far to inconsistent.,trust_less
612a1e54112f947dc881398a,alternatives,pooled,manipulation (pooled),The alternative replies made me go back through and check the scenarios again,UNCODED
6a023f4680391bcad5d12a8e,alternatives,pooled,manipulation (pooled),It made it hard to trust one over the other and not being able to ask follow up questions to one specific AI model made it difficult to interrogate conflicting answers.,trust_less
5b0f27321e55760001b9a8a5,alternatives,pooled,manipulation (pooled),"absolutely, it made me question both of them",more_careful;trust_less
6a05af046f4fff8e7c4bf65f,alternatives,pooled,manipulation (pooled),It made me want to double check more often as there were a lot of inconsistencies between the 2 agents,more_careful;trust_less
5c0f6121a166d700013881ec,alternatives,pooled,manipulation (pooled),The AI would give me different answers to start with on both response A and B and I had to trigger it to re-assess its findings.,UNCODED
6a14f818ca7d49f469ab3163,alternatives,pooled,manipulation (pooled),i had to be more thorough especially when given different answers,more_careful
69f1386d8f8e9af4ec5759a7,alternatives,pooled,manipulation (pooled),It made me double check answers and think twice about what i was writing as if they were contradicting i wouldn't know what to believe.  It made me rely on myself more.,more_careful
61472242d56808cc5a4c94d9,alternatives,pooled,manipulation (pooled),They sometimes confused me.,UNCODED
6a06ee4535f3599505bc54f6,alternatives,pooled,manipulation (pooled),It did not change. It only gave me dynamic perspectives.,no_change
6a01ff6376140a39df37af06,alternatives,pooled,manipulation (pooled),Kept changing until both responses were aligned. Not ideal strategy.,UNCODED
69ee224d4896c8720f0ed466,alternatives,pooled,manipulation (pooled),In so much as it was a reminder that AI can get it wrong.,UNCODED
6a0b2039dd72f88d56961a7c,alternatives,pooled,manipulation (pooled),It didn't really change my strategy,no_change
603ceb8f82d6b0a88e6cb99a,alternatives,pooled,manipulation (pooled),I tended to use the first column answers,UNCODED
6a08d7ebd6444314bbbf1112,alternatives,pooled,manipulation (pooled),It made me question the AI response,more_careful;trust_less
6601a00c30582f248a36232c,alternatives,pooled,manipulation (pooled),it made me read the given the description output thoroughly and more carefully,more_careful
