participantId,condition,savedAt,completed,age,gender,profession,fluency,education,ai_use,ypc_02_answer,ypc_02_correct,ypc_02_confidence,ypc_03_answer,ypc_03_correct,ypc_03_confidence,ypc_05_answer,ypc_05_correct,ypc_05_confidence,ypc_06_answer,ypc_06_correct,ypc_06_confidence,car_racing_01_answer,car_racing_01_correct,car_racing_01_confidence,car_racing_02_answer,car_racing_02_correct,car_racing_02_confidence,car_racing_03_answer,car_racing_03_correct,car_racing_03_confidence,car_racing_05_answer,car_racing_05_correct,car_racing_05_confidence,graduation_party_01_answer,graduation_party_01_correct,graduation_party_01_confidence,graduation_party_05_answer,graduation_party_05_correct,graduation_party_05_confidence,graduation_party_06_answer,graduation_party_06_correct,graduation_party_06_confidence,graduation_party_07_answer,graduation_party_07_correct,graduation_party_07_confidence,n_correct,mean_confidence,metacog_sensitivity,sus_1,sus_2,sus_3,sus_4,sus_5,sus_6,sus_7,sus_8,sus_9,sus_10,sus_11,sus_aggregate,ueq_1,ueq_2,ueq_3,ueq_4,ueq_5,ueq_6,ueq_7,ueq_8,ueq_aggregate,tlx_1,tlx_2,tlx_3,tlx_4,tlx_5,tlx_6,tlx_aggregate,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_aggregate,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_aggregate,attn_instruction,attn_post,attn_sus,msgs_to_ai,pre_with_ai,pre_without_ai,pre_ai_alone,post_with_ai,post_without_ai,post_ai_alone,I usually double-checked AI-generated answers before relying on them.,The post task reflection shown in this study changed how I understand the task.,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","How, if at all, did the post task reflection changed the way you understand the task?","If you have any further comments about your interaction with the AI, please share them here."
6a1b645c7ff6912c3579eeae,reflection-task,2026-08-14T12:01:36.984406+00:00,True,24,['Woman'],Banking,Native English speaker,Upper secondary school / High school,About once a day,D,1,63.0,D,0,17.0,A,1,71.0,A,1,17.0,D,1,59.0,B,0,18.0,B,1,20.0,D,0,96.0,C,0,39.0,D,0,100.0,D,1,43.0,D,0,100.0,6,53.58,-16.17,4.0,2.0,3.0,2.0,3.0,1.0,5.0,5.0,3.0,3.0,2.0,70.0,7.0,6.0,6.0,5.0,3.0,4.0,4.0,4.0,0.88,20.0,6.0,4.0,18.0,17.0,9.0,12.33,1.0,1.0,2.0,5.0,4.0,1.0,2.0,5.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.88,1,1,1,22,6,4,12,6,3,12,2,3,I checked with the AI system to see what they thought about things before I made up my mind. ,It made it clearly for me to understand how I understood the questions.,
6a33b6f5e3d9dff938626d9d,reflection-task,2026-08-14T12:13:11.673455+00:00,True,46,['Man'],admin,Fully fluent,Higher tertiary education degree (Master's level),About once a day,D,1,79.0,A,0,10.0,A,1,7.0,B,0,9.0,D,1,83.0,B,0,94.0,D,0,6.0,A,1,22.0,B,1,70.0,D,0,1.0,B,0,25.0,D,0,49.0,5,37.92,24.49,3.0,1.0,2.0,1.0,2.0,5.0,3.0,5.0,4.0,4.0,1.0,55.0,2.0,4.0,1.0,1.0,4.0,4.0,2.0,1.0,-1.62,19.0,8.0,10.0,2.0,10.0,15.0,10.67,2.0,1.0,3.0,3.0,4.0,3.0,2.67,1.0,4.0,1.0,1.0,4.0,4.0,3.0,1.0,2.12,1,1,1,42,8,4,11,7,0,6,2,1,"ask AI, challenge it",none,none
69fe1381557ad4d727e8c2fa,reflection-task,2026-08-14T12:19:09.804243+00:00,True,38,['Woman'],Product Manager,Fully fluent,Higher tertiary education degree (Master's level),Several times a day,B,0,72.0,B,1,80.0,D,0,51.0,D,0,48.0,D,1,99.0,D,0,98.0,D,0,86.0,D,0,97.0,A,0,100.0,D,0,62.0,B,0,71.0,D,0,66.0,2,77.5,14.4,4.0,2.0,5.0,3.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,67.5,7.0,6.0,6.0,6.0,4.0,7.0,6.0,5.0,1.88,20.0,15.0,17.0,20.0,20.0,6.0,16.33,4.0,4.0,1.0,2.0,4.0,4.0,4.17,4.0,4.0,4.0,4.0,4.0,1.0,3.0,4.0,4.0,1,1,1,13,10,2,10,12,5,12,4,4,,,
5efb4cfd797e7108c3823ae5,reflection-task,2026-08-14T12:24:04.784932+00:00,True,31,['Woman'],Innovation Space Manager,Fully fluent,Higher tertiary education degree (Master's level),Several times a day,D,1,79.0,D,0,84.0,A,1,57.0,D,0,42.0,D,1,88.0,B,0,78.0,B,1,86.0,A,1,65.0,D,0,84.0,A,1,81.0,D,1,79.0,D,0,32.0,7,71.25,12.43,4.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,1.0,4.0,2.0,77.5,6.0,6.0,6.0,7.0,4.0,5.0,4.0,4.0,1.25,18.0,6.0,16.0,11.0,16.0,13.0,13.33,4.0,4.0,1.0,2.0,4.0,4.0,4.17,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.88,1,1,1,17,11,10,11,11,8,11,4,2,"I tried to use AI as a tool rather than complete blind trust, but not always easy",It made me aware of the need to do a lot of the leg work myself,
60e39059c89cadf89f4e29eb,reflection-task,2026-08-14T12:35:19.046123+00:00,True,28,['Woman'],Administrator,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,C,0,96.0,C,0,19.0,A,1,92.0,D,0,93.0,A,0,97.0,C,1,87.0,B,1,99.0,A,1,98.0,B,1,72.0,A,1,76.0,D,1,85.0,D,0,82.0,7,83.0,9.6,4.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,2.0,5.0,1.0,92.5,7.0,7.0,2.0,2.0,4.0,3.0,1.0,1.0,-0.62,12.0,7.0,6.0,19.0,3.0,5.0,8.67,2.0,1.0,4.0,4.0,1.0,1.0,1.5,4.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,4.88,1,1,1,27,12,10,12,12,3,12,1,4,I just relied on the ai chatbot,I felt like I shouldn't use the ai because it meant that my reflections would be poor as I was relying on the technology to do the task,no further comments
65651805d1afb42ba1a55476,reflection-task,2026-08-14T12:46:28.151949+00:00,True,54,['Man'],Distribution ,Fully fluent,Lower tertiary education degree (Bachelor's level),Several times a day,D,1,73.0,B,1,69.0,D,0,77.0,D,0,64.0,D,1,73.0,C,1,71.0,B,1,74.0,D,0,79.0,B,1,75.0,A,1,71.0,B,0,74.0,B,1,79.0,8,73.25,-0.38,4.0,2.0,4.0,4.0,4.0,4.0,4.0,5.0,2.0,4.0,3.0,62.5,6.0,6.0,5.0,5.0,4.0,5.0,4.0,4.0,0.88,20.0,20.0,20.0,6.0,20.0,20.0,17.67,3.0,4.0,4.0,3.0,4.0,3.0,3.17,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,3.38,1,1,1,14,10,6,8,10,6,10,5,3,Just do it as fast as I could coz the time allowed is too tight.,It helps reviewing the answers,
6a15a776d6937e1be30e13ab,reflection-task,2026-08-14T12:47:44.514770+00:00,True,32,['Man'],Education Officer,Native English speaker,Higher tertiary education degree (Master's level),About once a day,D,1,76.0,D,0,18.0,A,1,71.0,B,0,83.0,A,0,67.0,B,0,93.0,B,1,97.0,A,1,29.0,B,1,91.0,D,0,26.0,D,1,46.0,D,0,85.0,6,65.17,6.33,3.0,2.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,4.0,2.0,60.0,5.0,5.0,4.0,5.0,3.0,3.0,4.0,4.0,0.12,18.0,5.0,18.0,6.0,8.0,17.0,12.0,1.0,4.0,1.0,1.0,5.0,5.0,4.17,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,3.0,1,1,1,39,10,6,10,9,2,6,2,3,"I developed a methodology: I asked the AI the question and provided the additional information, and then I asked it twice to double check its answers. When it gave conflicting answers, I kept asking until it reached a consensus.",It made me realise that there was more than one way to complete the task: I was worried that my reliance on AI would mean my submission would be rejected for being invalid.,
6a0a3aad897b5c34a76e4f98,reflection-task,2026-08-14T13:09:37.916820+00:00,True,23,['Woman'],Unemployed right now. Student.,Native English speaker,Upper secondary school / High school,A few times a week,D,1,91.0,D,0,100.0,A,1,75.0,D,0,49.0,D,1,99.0,B,0,99.0,D,0,100.0,D,0,89.0,B,1,85.0,A,1,81.0,D,1,32.0,D,0,86.0,6,82.17,-10.0,5.0,1.0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0,97.5,7.0,7.0,7.0,7.0,4.0,5.0,5.0,5.0,1.88,20.0,6.0,10.0,10.0,10.0,20.0,12.67,1.0,2.0,3.0,3.0,3.0,2.0,2.33,5.0,3.0,4.0,4.0,5.0,2.0,5.0,5.0,4.38,1,1,1,33,12,6,12,12,4,12,5,3,"I read the tasks a couple times to understand them better. I tried working them out in my head before asking the AI to see if I was right or wrong. I asked the AI if it was sure, just in case. Then I read its explanation to see if it made sense to me",Not much.,
6a08f7fa9599d060886bef37,reflection-task,2026-08-14T13:14:32.660385+00:00,True,27,['Woman'],Technology,Fully fluent,Higher tertiary education degree (Master's level),A few times a week,D,1,96.0,B,1,96.0,A,1,97.0,A,1,95.0,D,1,96.0,B,0,93.0,D,0,91.0,A,1,95.0,B,1,96.0,B,0,96.0,D,1,97.0,B,1,93.0,9,95.08,2.33,5.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,4.0,60.0,7.0,4.0,7.0,5.0,5.0,5.0,5.0,3.0,1.12,17.0,17.0,8.0,18.0,19.0,8.0,14.5,3.0,4.0,2.0,2.0,4.0,5.0,4.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,3.75,1,1,1,18,9,8,7,8,7,6,5,4,"I broke scenarios into explicit constraints, checked each statement individually, used the AI to verify reasoning or evaluate",Writing justifications exposed hidden assumptions,
6a20c2beaba792630fa44aea,reflection-task,2026-08-14T13:25:59.691121+00:00,True,31,['Woman'],Manager / Customer Service,Native English speaker,Lower tertiary education degree (Bachelor's level),Less than once a month,D,1,31.0,B,1,66.0,A,1,78.0,D,0,28.0,D,1,86.0,B,0,91.0,D,0,84.0,C,0,83.0,B,1,86.0,D,0,80.0,B,0,56.0,B,1,75.0,6,70.33,0.0,1.0,2.0,4.0,2.0,3.0,3.0,4.0,5.0,3.0,2.0,2.0,55.0,5.0,3.0,6.0,5.0,3.0,4.0,2.0,2.0,-0.25,20.0,1.0,13.0,17.0,20.0,16.0,14.5,4.0,4.0,2.0,2.0,4.0,3.0,3.83,4.0,4.0,2.0,2.0,4.0,5.0,2.0,1.0,2.5,1,1,1,32,10,9,6,8,7,6,5,4,"I tried to use my own logic to solve the questions before asking AI for any help. I felt like I got better with certain scenarios as I went, but found some to be more difficult than others, especially the scheduling one with the work week. ","A little, I was not sure during the task if the AI agent was actually being helpful, or giving me some false information. I think it was possible the task was to see how much we trust or rely on Ai withouth cross checking information. ",Overall it went well - I did mention to the AI agent there was 1 scenario that did not match with the questions asked. I wasn't sure if this was on purpose or a mistake.
697b9cf8538b1071d7c63b06,reflection-task,2026-08-14T13:49:13.961594+00:00,True,31,['Woman'],artist,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,D,1,98.0,C,0,100.0,D,0,100.0,D,0,98.0,D,1,100.0,B,0,99.0,D,0,98.0,B,0,98.0,B,1,99.0,D,0,99.0,D,1,99.0,D,0,98.0,4,98.83,0.25,1.0,1.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,1.0,1.0,60.0,1.0,6.0,1.0,3.0,5.0,5.0,4.0,1.0,-0.75,20.0,20.0,17.0,14.0,20.0,10.0,16.83,1.0,5.0,1.0,1.0,5.0,5.0,4.33,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.12,1,1,1,57,12,6,12,10,10,12,5,3,i did not take's ai answer and tried writing prompts to proove it was wrong,it just was annoying to write and answer it ,it just was too slow at times
5fbfffc4e214a60ab1b745fd,reflection-task,2026-08-16T16:22:06.601578+00:00,True,29,['Woman'],Science technician,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a week,D,1,82.0,D,0,48.0,A,1,50.0,D,0,67.0,D,1,90.0,C,1,25.0,B,1,31.0,C,0,25.0,C,0,49.0,D,0,87.0,B,0,65.0,D,0,26.0,5,53.75,3.17,3.0,1.0,5.0,1.0,4.0,1.0,4.0,5.0,2.0,4.0,2.0,82.5,7.0,7.0,7.0,7.0,4.0,4.0,1.0,1.0,0.75,20.0,1.0,10.0,4.0,20.0,1.0,9.33,3.0,4.0,2.0,2.0,4.0,3.0,3.67,3.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,2.88,1,1,1,26,8,0,5,6,0,6,3,3,"Tried by best at some of the scenarios, some just had too much information on to be able to work them out, asked AI each time to cheeck or get the answer",No,N/a
5b35824a975e260001e9b7a6,reflection-task,2026-08-16T16:49:59.500307+00:00,True,42,['Man'],Operations Manager - Banking,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,D,1,77.0,A,0,76.0,A,1,91.0,B,0,90.0,C,0,81.0,B,0,85.0,D,0,95.0,A,1,85.0,B,1,92.0,A,1,84.0,B,0,73.0,D,0,87.0,5,84.67,1.94,4.0,4.0,2.0,2.0,2.0,3.0,4.0,5.0,4.0,3.0,1.0,52.5,6.0,2.0,4.0,5.0,3.0,5.0,3.0,3.0,-0.12,18.0,17.0,10.0,13.0,17.0,15.0,15.0,5.0,5.0,1.0,1.0,4.0,5.0,4.83,4.0,2.0,3.0,4.0,4.0,2.0,5.0,5.0,3.88,1,1,1,24,8,5,5,10,2,10,4,2,Use lots of critical thinking and limit assumptions. Re-read material and re-read AI answers. Prompt the AI agent more for clarification or point out errors and inconsistencies.,"It didn't really at all, the AI agent and myself seemed to merge like we were on the same team or co-workers, it's difficult to fully explain, it was more of an experience, something native, like an inferior iphone or likewise.",N/A
6601b76d13817c7dc3117d2a,reflection-task,2026-08-16T16:58:55.865415+00:00,True,44,['Woman'],Teacher,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,A,0,72.0,B,1,92.0,D,0,76.0,C,0,90.0,D,1,98.0,B,0,98.0,B,1,89.0,C,0,79.0,B,1,91.0,D,0,76.0,D,1,93.0,B,1,42.0,6,83.0,2.33,4.0,2.0,4.0,2.0,4.0,3.0,5.0,5.0,2.0,4.0,1.0,77.5,7.0,4.0,6.0,5.0,4.0,5.0,6.0,5.0,1.25,20.0,4.0,7.0,12.0,15.0,14.0,12.0,2.0,2.0,4.0,3.0,3.0,2.0,2.33,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,3.62,1,1,1,40,9,4,10,8,3,9,4,4,"pen and paper , in the beginning I worked harder but slowed down as the problems conntinued to come in such great detail, my interest started to wane thank God for the assistant",Maybe it was ok to be frustrated after all I dont feel so bad now having filled in the post questionnaire,This was a tough study for me. Best of luck with it
6a00d5c573b4d9e1206e38c3,reflection-task,2026-08-16T17:02:55.413314+00:00,True,30,['Woman'],events coordinator,Fully fluent,Lower tertiary education degree (Bachelor's level),Several times a day,D,1,85.0,D,0,81.0,A,1,95.0,D,0,65.0,D,1,62.0,B,0,94.0,B,1,100.0,B,0,55.0,B,1,40.0,D,0,63.0,D,1,70.0,A,0,57.0,6,72.25,6.17,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,52.5,7.0,7.0,7.0,7.0,6.0,3.0,4.0,2.0,1.38,20.0,3.0,20.0,6.0,20.0,20.0,14.83,2.0,2.0,4.0,1.0,3.0,2.0,2.67,5.0,2.0,5.0,5.0,5.0,4.0,5.0,5.0,4.25,1,1,0,29,10,5,12,6,0,12,5,5,,,
6a17294fd5b8e7f50710573e,reflection-task,2026-08-16T17:04:17.543956+00:00,True,26,['Man'],Student,Fully fluent,Higher tertiary education degree (Master's level),About once a day,D,1,100.0,C,0,100.0,D,0,100.0,B,0,100.0,D,1,100.0,C,1,100.0,B,1,100.0,D,0,99.0,B,1,100.0,D,0,100.0,B,0,100.0,D,0,100.0,5,99.92,0.14,2.0,2.0,5.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,1.0,87.5,7.0,7.0,7.0,7.0,3.0,7.0,5.0,5.0,2.0,20.0,1.0,5.0,15.0,10.0,5.0,9.33,3.0,3.0,2.0,2.0,3.0,4.0,3.5,4.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,3.5,1,1,1,29,12,6,10,12,0,10,3,4,I mainly just used the AI answer after looking into it myself and checking for errors.,I understand that I really need to step up my own organization game.,
