participantId,condition,savedAt,completed,age,gender,profession,fluency,education,ai_use,ypc_02_answer,ypc_02_correct,ypc_02_confidence,ypc_03_answer,ypc_03_correct,ypc_03_confidence,ypc_05_answer,ypc_05_correct,ypc_05_confidence,ypc_06_answer,ypc_06_correct,ypc_06_confidence,car_racing_01_answer,car_racing_01_correct,car_racing_01_confidence,car_racing_02_answer,car_racing_02_correct,car_racing_02_confidence,car_racing_03_answer,car_racing_03_correct,car_racing_03_confidence,car_racing_05_answer,car_racing_05_correct,car_racing_05_confidence,graduation_party_01_answer,graduation_party_01_correct,graduation_party_01_confidence,graduation_party_05_answer,graduation_party_05_correct,graduation_party_05_confidence,graduation_party_06_answer,graduation_party_06_correct,graduation_party_06_confidence,graduation_party_07_answer,graduation_party_07_correct,graduation_party_07_confidence,n_correct,mean_confidence,metacog_sensitivity,sus_1,sus_2,sus_3,sus_4,sus_5,sus_6,sus_7,sus_8,sus_9,sus_10,sus_11,sus_aggregate,ueq_1,ueq_2,ueq_3,ueq_4,ueq_5,ueq_6,ueq_7,ueq_8,ueq_aggregate,tlx_1,tlx_2,tlx_3,tlx_4,tlx_5,tlx_6,tlx_aggregate,nfc_1,nfc_2,nfc_3,nfc_4,nfc_5,nfc_6,nfc_aggregate,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_aggregate,attn_instruction,attn_post,attn_sus,msgs_to_ai,pre_with_ai,pre_without_ai,pre_ai_alone,post_with_ai,post_without_ai,post_ai_alone,I usually double-checked AI-generated answers before relying on them.,The step by step reply shown in this study changed how I interacted with the AI.,The multiple alternatives reply helped me evaluate the AI’s answer more carefully.,"Which strategies did you use to solve the tasks, check your answers, or improve your performance, if any?","How, if at all, did the multiple alternatives reply changed the way you interacted with the AI?","If you have any further comments about your interaction with the AI, please share them here."
676ada80fe4f612146e3c8b3,ai,2026-07-16T15:45:33.657022+00:00,True,34,['Man'],it manager,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,D,1,99.0,B,1,100.0,B,0,99.0,C,0,99.0,D,1,100.0,B,0,100.0,D,0,99.0,A,1,100.0,C,0,98.0,D,0,100.0,B,0,99.0,D,0,98.0,4,99.25,0.75,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,100.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,8.0,3.0,1.0,19.0,4.0,1.0,6.0,1.0,4.0,1.0,2.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,5.0,1.0,5.0,5.0,4.75,1,1,1,16,12,9,12,12,5,6,5,,,i read through the questions and see if i could answer some well enough and went with the ai's answers that goes with mine,,
5a9c41f2dbdb470001eeef9c,ai,2026-07-16T15:49:30.483426+00:00,True,50,['Woman'],Librarian,Native English speaker,Higher tertiary education degree (Master's level),About once a week,A,0,24.0,D,0,10.0,A,1,29.0,A,1,78.0,D,1,99.0,C,1,92.0,D,0,67.0,D,0,37.0,B,1,79.0,A,1,32.0,D,1,84.0,A,0,55.0,7,57.17,31.83,2.0,1.0,4.0,2.0,3.0,3.0,4.0,5.0,2.0,2.0,1.0,65.0,5.0,6.0,6.0,3.0,4.0,4.0,2.0,5.0,0.38,13.0,2.0,15.0,9.0,4.0,13.0,9.33,5.0,4.0,1.0,1.0,5.0,5.0,4.83,2.0,3.0,2.0,2.0,5.0,3.0,4.0,4.0,3.12,1,1,1,22,8,6,6,9,6,10,2,,,"I felt quite overwhelmed by all the details in combination with the time limit - plus a false start from trying to access the study on Chrome. So I took a quick overview of the scenarios and then mostly just relied on the AI's input. On one question, about drink tokens, I overruled the AI as I thought half tokens wouldn't be issued - but I could be wrong!",,
614b11e399369a0d52b5fbf6,ai,2026-07-16T15:56:16.672823+00:00,True,33,['Man'],Software engineer,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,D,1,81.0,A,0,100.0,B,0,89.0,B,0,100.0,D,1,100.0,B,0,100.0,B,1,92.0,A,1,74.0,B,1,63.0,D,0,92.0,B,0,67.0,A,0,76.0,5,86.17,-7.14,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,100.0,7.0,7.0,7.0,7.0,4.0,6.0,2.0,2.0,1.25,2.0,1.0,1.0,17.0,1.0,1.0,3.83,3.0,3.0,1.0,2.0,4.0,4.0,3.83,5.0,5.0,4.0,5.0,5.0,2.0,4.0,5.0,4.62,1,0,1,15,10,10,11,12,6,12,3,,,,,
5ca9106716aa84001725d880,ai,2026-07-16T16:06:30.100863+00:00,True,34,['Woman'],IT DIRECTOR ,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,D,1,64.0,B,1,62.0,D,0,60.0,C,0,80.0,D,1,74.0,B,0,62.0,B,1,55.0,A,1,56.0,B,1,45.0,C,0,72.0,D,1,21.0,B,1,40.0,8,57.58,-16.38,4.0,1.0,5.0,1.0,5.0,2.0,4.0,5.0,1.0,5.0,1.0,92.5,6.0,7.0,6.0,6.0,7.0,6.0,6.0,4.0,2.0,4.0,2.0,15.0,18.0,5.0,4.0,8.0,4.0,5.0,1.0,1.0,4.0,4.0,4.5,5.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.75,1,1,1,16,8,4,9,7,6,7,2,,,I didn't really check through if they looked ok I went with them as it was what I would normally do,,none 
69e798083733072e5376734b,ai,2026-07-16T16:18:44.154398+00:00,True,22,['Woman'],teaching,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,C,0,99.0,C,0,98.0,C,0,95.0,C,0,95.0,D,1,97.0,B,0,93.0,B,1,87.0,D,0,87.0,B,1,96.0,A,1,97.0,D,1,97.0,A,0,98.0,5,94.92,-0.2,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,100.0,7.0,7.0,5.0,7.0,5.0,5.0,6.0,6.0,2.0,5.0,5.0,1.0,20.0,5.0,1.0,6.17,4.0,4.0,1.0,2.0,4.0,4.0,4.17,5.0,3.0,5.0,5.0,5.0,3.0,4.0,5.0,4.38,1,1,1,15,12,7,12,9,7,9,2,,,I read the questions and then the scenerio so I had a rough idea of what the answer could be but I was not sure so I took AI's help and completed my task.,,
5ea824f580b9ef228f589930,ai,2026-07-16T16:25:50.096430+00:00,True,67,['Woman'],Healthcare Manager,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,D,1,69.0,B,1,92.0,D,0,42.0,C,0,67.0,D,1,44.0,B,0,68.0,B,1,70.0,C,0,65.0,C,0,72.0,D,0,87.0,D,1,90.0,B,1,29.0,6,66.25,-1.17,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,100.0,7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,2.5,19.0,2.0,5.0,14.0,19.0,4.0,10.5,4.0,4.0,1.0,3.0,4.0,3.0,3.83,5.0,3.0,4.0,4.0,4.0,2.0,5.0,4.0,4.12,1,1,1,19,9,5,9,11,4,11,4,,,I asked the AI to re-explain and explain some parts in a way that was easier for me to understand until it was explaing it in a more simplistic way that I could understand better.,,
673f6ffebce20832346325de,ai,2026-07-16T16:27:32.224920+00:00,True,41,['Woman'],retail worker,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,C,0,75.0,B,1,91.0,A,1,98.0,C,0,98.0,C,0,98.0,B,0,98.0,B,1,100.0,A,1,98.0,B,1,99.0,D,0,77.0,B,0,100.0,D,0,82.0,5,92.83,7.49,3.0,3.0,4.0,1.0,5.0,2.0,4.0,5.0,1.0,5.0,1.0,82.5,7.0,7.0,7.0,4.0,5.0,5.0,4.0,4.0,1.38,17.0,5.0,5.0,10.0,10.0,5.0,8.67,1.0,1.0,4.0,4.0,1.0,1.0,1.33,5.0,3.0,5.0,5.0,5.0,1.0,4.0,4.0,4.5,1,0,1,26,10,7,10,9,5,9,2,,,I relied heavily on the AI but tried to double check the answers on my own. If I was not sure on my own I completely relied on the AI providing the correct answers.,,
5ff454f2f0b5ed607169fba6,ai,2026-07-16T16:30:47.469752+00:00,True,45,['Woman'],Finance,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,A,0,98.0,D,0,99.0,D,0,99.0,D,0,70.0,D,1,100.0,B,0,100.0,B,1,90.0,D,0,68.0,B,1,99.0,D,0,93.0,B,0,99.0,B,1,88.0,4,91.92,3.5,5.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,100.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,3.0,4.0,1.0,1.0,20.0,20.0,1.0,7.83,5.0,5.0,1.0,1.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,1.0,5.0,5.0,4.62,1,1,1,26,10,8,11,10,8,10,5,,,I read the text the first time and check it the second time with the AI answer.,,
6a00e5e9deafdfa23003cacb,ai,2026-07-16T16:33:52.747053+00:00,True,41,['Man'],Inspector Assistant,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,A,0,60.0,B,1,62.0,D,0,45.0,B,0,60.0,D,1,100.0,B,0,82.0,B,1,82.0,C,0,69.0,B,1,81.0,D,0,56.0,D,1,50.0,B,1,68.0,6,67.92,11.83,4.0,2.0,5.0,2.0,4.0,1.0,5.0,5.0,1.0,3.0,1.0,85.0,6.0,6.0,6.0,7.0,4.0,6.0,5.0,6.0,1.75,13.0,3.0,5.0,7.0,6.0,15.0,8.17,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.62,1,1,1,19,8,0,6,6,2,6,2,,,I double checked some of the answers by the AI against the scenario to ensure it hadn't missed terms that might impede interpretation by the model,,Nonw
69ffa808e93cf482f4829587,ai,2026-07-16T16:59:12.312594+00:00,True,43,['Man'],Physiotherapist,Native English speaker,Higher tertiary education degree (Master's level),A few times a week,D,1,63.0,B,1,57.0,D,0,79.0,C,0,63.0,D,1,70.0,C,1,68.0,B,1,64.0,C,0,56.0,B,1,68.0,A,1,66.0,D,1,60.0,B,1,58.0,9,64.33,-2.22,3.0,1.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,1.0,95.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,4.0,2.5,19.0,9.0,3.0,16.0,19.0,2.0,11.33,3.0,4.0,2.0,4.0,4.0,4.0,3.5,4.0,2.0,2.0,4.0,4.0,2.0,5.0,4.0,3.62,1,1,1,30,10,7,10,7,3,7,2,,,I used the AI response mostly and rely on my own knowledge of the task too,,NA
6a05ca3ca97a0b5ea50dd24c,ai,2026-07-17T13:40:57.212921+00:00,True,22,['Woman'],Software developer,Native English speaker,Lower tertiary education degree (Bachelor's level),About once a day,D,1,80.0,B,1,67.0,B,0,83.0,B,0,49.0,D,1,82.0,C,1,92.0,D,0,77.0,D,0,94.0,B,1,85.0,D,0,91.0,A,0,89.0,B,1,81.0,6,80.83,0.67,4.0,1.0,5.0,1.0,4.0,4.0,5.0,5.0,3.0,4.0,2.0,77.5,6.0,7.0,5.0,7.0,6.0,7.0,5.0,4.0,1.88,5.0,1.0,3.0,16.0,1.0,1.0,4.5,2.0,1.0,1.0,5.0,4.0,3.0,2.67,4.0,3.0,3.0,3.0,5.0,2.0,3.0,4.0,3.62,1,1,1,14,10,5,9,10,4,7,1,,,"i just pasted in the given scenario and then pasted in the question to get the answer however in the future i would definitely double check the answers, as I have never thought of doing that before",,
5f319edf7543f7087932aa98,ai,2026-07-17T13:52:11.972671+00:00,True,46,['Man'],underwriter,Native English speaker,Lower tertiary education degree (Bachelor's level),A few times a week,D,1,80.0,C,0,73.0,A,1,65.0,D,0,82.0,D,1,66.0,B,0,67.0,D,0,71.0,C,0,69.0,B,1,78.0,A,1,76.0,D,1,69.0,D,0,84.0,6,73.33,-2.0,4.0,4.0,4.0,1.0,2.0,1.0,5.0,5.0,1.0,4.0,1.0,77.5,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,2.25,5.0,2.0,6.0,15.0,7.0,2.0,6.17,2.0,2.0,4.0,4.0,2.0,3.0,2.17,4.0,3.0,3.0,3.0,5.0,2.0,4.0,4.0,3.75,1,1,1,17,12,5,12,12,2,12,4,,,own judgement,,none
6a04411878c03cd53d01bc3d,ai,2026-07-17T14:00:20.970123+00:00,True,35,['Man'],Accountant,Native English speaker,Higher tertiary education degree (Master's level),Several times a day,D,1,71.0,A,0,83.0,B,0,74.0,B,0,72.0,D,1,80.0,B,0,73.0,D,0,68.0,D,0,78.0,B,1,79.0,A,1,75.0,D,1,80.0,D,0,72.0,5,75.42,2.71,5.0,5.0,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,80.0,7.0,7.0,7.0,7.0,4.0,4.0,2.0,4.0,1.25,3.0,1.0,4.0,15.0,1.0,13.0,6.17,1.0,4.0,3.0,4.0,2.0,2.0,2.33,4.0,4.0,3.0,2.0,4.0,5.0,4.0,4.0,3.25,1,1,1,15,8,6,10,12,4,12,1,,,Just relied on the AI,,
5f6f3b4884cdf34934e9db6f,ai,2026-07-17T14:04:56.483417+00:00,True,47,['Woman'],credit controller,Native English speaker,Vocational college degree,About once a day,D,1,97.0,B,1,93.0,A,1,92.0,A,1,86.0,B,0,84.0,B,0,84.0,A,0,86.0,A,1,89.0,B,1,87.0,D,0,92.0,D,1,97.0,D,0,64.0,7,87.58,9.57,5.0,2.0,4.0,2.0,4.0,2.0,4.0,5.0,2.0,4.0,3.0,75.0,6.0,6.0,6.0,7.0,5.0,5.0,6.0,4.0,1.62,13.0,1.0,6.0,13.0,12.0,6.0,8.5,2.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,3.88,1,1,1,29,12,2,12,12,2,10,1,,,Cutting and pasting information into the AI system,,
6710a58eeff954cb2243950e,ai,2026-07-17T14:13:38.469030+00:00,True,55,['Woman'],Project Management,Fully fluent,Higher tertiary education degree (Master's level),Several times a day,A,0,85.0,A,0,60.0,D,0,92.0,C,0,97.0,D,1,98.0,C,1,97.0,C,0,76.0,D,0,98.0,C,0,69.0,C,0,91.0,A,0,97.0,C,0,99.0,2,88.25,11.1,5.0,1.0,5.0,1.0,5.0,1.0,4.0,5.0,1.0,5.0,1.0,97.5,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,2.75,17.0,4.0,3.0,14.0,17.0,3.0,9.67,4.0,5.0,1.0,1.0,5.0,5.0,4.83,5.0,4.0,5.0,5.0,5.0,1.0,5.0,5.0,4.88,1,1,1,14,11,7,10,10,6,5,5,,,"Process of elimination, reasoning and deducing conclusions from the scenarios",,No comment
6a1589d7aa43b48061cf738a,ai,2026-07-17T14:19:04.500825+00:00,True,30,['Man'],Environmental Consultant,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,A,0,73.0,A,0,75.0,D,0,67.0,A,1,66.0,D,1,70.0,C,1,74.0,B,1,77.0,C,0,56.0,D,0,29.0,D,0,36.0,D,1,31.0,D,0,77.0,5,60.92,4.6,3.0,4.0,4.0,2.0,3.0,2.0,3.0,5.0,4.0,4.0,2.0,57.5,5.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,-0.25,8.0,1.0,4.0,12.0,8.0,5.0,6.33,2.0,2.0,4.0,4.0,3.0,3.0,2.33,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,3.38,1,0,1,19,10,8,8,8,5,7,1,,,"I relied on the AI, there was a lot of thinking and working out required",,
6a21b8ae2177f79a3833a3aa,ai,2026-07-17T14:21:20.551468+00:00,True,28,['Woman'],customer service,Native English speaker,Lower tertiary education degree (Bachelor's level),Several times a day,A,0,87.0,A,0,87.0,C,0,84.0,C,0,94.0,D,1,100.0,B,0,100.0,B,1,86.0,A,1,90.0,B,1,98.0,A,1,100.0,B,0,100.0,B,1,100.0,6,93.83,3.67,5.0,1.0,5.0,1.0,2.0,4.0,5.0,5.0,3.0,5.0,3.0,75.0,6.0,7.0,6.0,6.0,4.0,5.0,6.0,5.0,1.62,15.0,3.0,5.0,16.0,18.0,10.0,11.17,3.0,4.0,2.0,3.0,5.0,3.0,3.67,4.0,5.0,4.0,2.0,3.0,3.0,2.0,3.0,3.25,1,1,1,25,10,7,9,11,1,1,2,,,i relied on the AI,,
59b19a277f6c84000151c001,ai,2026-07-17T14:29:20.844393+00:00,True,65,['Woman'],seamstress/supervisor,Native English speaker,Upper secondary school / High school,A few times a week,D,1,69.0,B,1,66.0,D,0,66.0,B,0,74.0,D,1,85.0,B,0,85.0,B,1,73.0,A,1,69.0,B,1,76.0,D,0,73.0,B,0,67.0,D,0,62.0,6,72.08,1.83,4.0,2.0,4.0,1.0,4.0,1.0,4.0,5.0,2.0,4.0,2.0,80.0,6.0,6.0,6.0,6.0,5.0,5.0,4.0,4.0,1.25,12.0,2.0,7.0,13.0,14.0,4.0,8.67,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.75,1,1,1,29,9,7,10,11,9,10,4,,,I asked the questions of the AI and then returned to the scene to try and check whether what the AI was telling me was correct by checking the answers and reasons given with the information in the scenerio,,easy to use and prompt with replies and offering extra information
